Id;URL Repository;URL Commit;Files;Hash;BugType1;BugType2;RootCause;ImpactsFromBugs;Lines Changed Total Added;Lines Changed Total Deleted;Lines Changed File Added;Lines Changed File Deleted;Lines Changed File Deleted ;Lines Changed Total Deleted ;Message Commit
237890763;https://github.com/fastai/fastpages;https://github.com/fastai/fastpages/commit/ed6e973069c0504a77e7fa915da8895046ef6375;_notebooks/2020-02-20-test.ipynb;ed6e973069c0504a77e7fa915da8895046ef6375;cell defect;;Coding error;Incorrect Functionality;4;;4;;2;2;Merge pull request #466 from sachinruk/sachinruk-notebook-md Fixing markdown for front matter
237890763;https://github.com/fastai/fastpages;https://github.com/fastai/fastpages/commit/3149d8444b1fa11dd0c80bf0dbe08df636933265;_notebooks/2020-02-20-test.ipynb;3149d8444b1fa11dd0c80bf0dbe08df636933265;cell defect;;Coding error;Incorrect Functionality;4;;4;;2;2;Fixing markdown for front matter
237890763;https://github.com/fastai/fastpages;https://github.com/fastai/fastpages/commit/3fafc2af65f86236b2deb83b03cbe6d047d06435;_notebooks/2020-02-20-test.ipynb;3fafc2af65f86236b2deb83b03cbe6d047d06435;cell defect;;Logic error;Incorrect Functionality;59;;43;;34;48;Merge pull request #348 from fastai/fix-matplotlib correct css scroll issue + notebook examples
237890763;https://github.com/fastai/fastpages;https://github.com/fastai/fastpages/commit/3fafc2af65f86236b2deb83b03cbe6d047d06435;_notebooks/2020-02-21-introducing-fastpages.ipynb;3fafc2af65f86236b2deb83b03cbe6d047d06435;cell defect;;Logic error;Incorrect Functionality;59;;6;;7;48;Merge pull request #348 from fastai/fix-matplotlib correct css scroll issue + notebook examples
237890763;https://github.com/fastai/fastpages;https://github.com/fastai/fastpages/commit/018daa6663ceca7ac13f950566e1b613eda4dc1a;_notebooks/2020-02-20-test.ipynb;018daa6663ceca7ac13f950566e1b613eda4dc1a;cell defect;;Coding error;Incorrect Functionality;13;;13;;13;13;fix margin
237890763;https://github.com/fastai/fastpages;https://github.com/fastai/fastpages/commit/2335756ca08c5439f4c15ef3e1014d888ca70154;_notebooks/2020-02-20-test.ipynb;2335756ca08c5439f4c15ef3e1014d888ca70154;cell defect;;Hardwere software limitations;Incorrect Functionality;83;;29;;6;13;Merge pull request #205 from fastai/markdown-flag Fix Notebook to HTML Footnotes
237890763;https://github.com/fastai/fastpages;https://github.com/fastai/fastpages/commit/49759f827d7511eeef47f8712f8691899baf0998;_notebooks/2020-02-21-introducing-fastpages.ipynb;49759f827d7511eeef47f8712f8691899baf0998;cell defect;;Unknown;Incorrect Functionality;54;;23;;14;21;fix styling
126337574;https://github.com/pyiron/pyiron;https://github.com/pyiron/pyiron/commit/493d4dab6e2bf8013e0febeedd79100556b764db;notebooks/water_md.ipynb;493d4dab6e2bf8013e0febeedd79100556b764db;implementation;;Coding error;Incorrect Functionality;31808;;1;;1;63124;minor bugfix
126337574;https://github.com/pyiron/pyiron;https://github.com/pyiron/pyiron/commit/0142d8c8cb7e616881a4bad29f3577ead55b6149;source/example_notebooks/first_steps.ipynb;0142d8c8cb7e616881a4bad29f3577ead55b6149;implementation;;Unknown;Incorrect Functionality;29;;29;;19;19;Joergs corrections included
126337574;https://github.com/pyiron/pyiron;https://github.com/pyiron/pyiron/commit/ebc9acdad36103ff752c7abf25a87b17ed5cc314;source/example_notebooks/first_steps.ipynb;ebc9acdad36103ff752c7abf25a87b17ed5cc314;implementation;;Coding error;Incorrect Functionality;18;;18;;16;16;Plotting legend correction
219892487;https://github.com/aws/aws-neuron-sdk;https://github.com/aws/aws-neuron-sdk/commit/f4c0977ba48e6590f985b7f06072a957e58a769b;src/examples/pytorch/yolo_v4.ipynb;f4c0977ba48e6590f985b7f06072a957e58a769b;environments and settings;;Version Problems;Run Error;3;;3;;3;3;fixed the version for torchvision * fixed the version for torchvision * removed hidden checkpoint file Co-authored-by: Ubuntu <ubuntu@ip-172-31-83-251.ec2.internal>
219892487;https://github.com/aws/aws-neuron-sdk;https://github.com/aws/aws-neuron-sdk/commit/896a594a4ae2790a99aa8027973b353fc16d9396;src/examples/pytorch/yolo_v4.ipynb;896a594a4ae2790a99aa8027973b353fc16d9396;environments and settings;;Version Problems;Run Error;3;;3;;3;3;fixed the version for torchvision (#191) * fixed the version for torchvision * removed hidden checkpoint file Co-authored-by: Ubuntu <ubuntu@ip-172-31-83-251.ec2.internal>
219892487;https://github.com/aws/aws-neuron-sdk;https://github.com/aws/aws-neuron-sdk/commit/928c2c629157877f15bff15aff5208438a258feb;src/examples/pytorch/yolo_v4.ipynb;928c2c629157877f15bff15aff5208438a258feb;implementation;processing;Coding error;Run Error;1;;1;;5;5;Merge pull request #155 from aws/yolo_v4_fixes Yolo V4: Removed broken debug code. Increased number of threads for performance
